mass, year, reclat, reclong
28, 1814, 13.783330, 78.566670
34650, 1981, 9.366670, 42.416670
1000, 1851, 51.916670, 8.383330
1320, 1930, 35.000000, 127.500000
0.2, 1817, 35.650000, 139.333330
9000, 1934, 50.316670, 3.733330
1456, 1944, 57.816670, 16.233330
3710, 1959, 41.383330, -86.600000
1000, 1878, 26.800000, 82.533330
315, 1921, 28.383330, 75.783330
8360, 1961, 32.675000, -94.511670
680, 1859, 38.250000, -86.166670
1110.5999999999999, 1910, 35.294500, 136.700330
1250, 1890, 28.950000, 0.816670
29000, 1628, 51.650000, -1.516670
1544, 1971, 60.245560, 22.061940
3500, 1922, 55.466670, 13.783330
6100, 1910, 27.333330, 35.666670
1000, 1857, 10.000000, -84.100000
20000, 1869, 59.850000, 17.666670
750, 1897, 33.600000, 130.433330
4500, 1804, 55.900000, -4.233330
414, 2003, 34.450000, 132.383330
167.7, 2003, 1.345000, 31.472780
305.5, 1954, 64.433330, 21.200000
220000, 1912, 34.900000, -110.183330
1415, 1923, 9.066670, 38.416670
230000, 1875, 41.800000, -91.866670
2420, 1825, 21.300000, -157.866670
180, 1956, 35.666670, 115.500000
266.10000000000002, 1963, 39.350000, -100.450000
49000, 1751, 46.100000, 16.333330
1600, 2010, 26.464690, 106.632410
112, 1877, 50.300000, 8.916670
14000, 1901, 61.183330, 22.683330
2000, 1870, 52.283330, 7.700000
2500, 1957, -20.000000, -45.000000
, 1949, 38.000000, 35.000000
3973, 1936, 58.200000, 82.933330
3457, 1956, -32.100000, 28.333330
1200, 1977, -23.200000, -51.833330
7330, 1975, -6.033330, 145.366670
27000, 1891, 39.750000, 46.666670
880, 1917, 39.083330, -94.400000
3000, 1963, 41.000000, 112.000000
4576, 1977, 53.415000, -111.337500
7000, 1972, -25.500000, -54.500000
1300, 1954, -8.933330, 33.800000
3050, 1928, -31.183330, -57.950000
2024, 1879, -3.400000, -44.333330
4720, 1990, 26.590830, -12.952170
704.5, 1938, -8.416670, 32.433330
48000, 1903, -32.500000, 21.900000
973, 1926, 26.750000, 68.416670
700, 1990, , 
1967, 1621, 31.000000, 75.000000
22, 1866, 18.750000, 75.333330
20500, 1979, 39.700000, 105.800000
34000, 1889, 43.833330, 20.441670
450, 1901, , 
3667, 2009, 46.421370, 14.052170
5900, 1873, 31.300000, 72.383330
222, 1964, 31.916670, 104.916670
600000, 1890, 30.808330, 109.500000
4000000, 1976, 44.050000, 126.166670
100, 2006, 22.680000, 70.313330
30, 1877, 55.700000, 24.400000
40300, 1924, 40.350000, -104.900000
483, 1974, -11.850000, 15.833330
5000, 1819, 45.433330, -0.450000
100000, 1997, 35.500000, 115.416670
680, 1876, 12.850000, 76.800000
32490, 1984, -7.716670, 111.200000
950, 1976, 35.200000, 118.800000
25250, 1968, 38.740280, -7.270000
91000, 1821, 44.716670, 4.300000
3000, 1857, 47.350000, 21.300000
13400, 1971, 11.850000, 8.216670
89, 1822, 27.083330, 78.333330
230, 1838, 27.250000, 79.966670
1900, 1908, 49.866670, 30.833330
2000, 1980, 15.000000, 48.300000
200000, 1937, 55.433330, 53.250000
350, 1890, 12.383330, 78.516670
577, 1858, 45.133330, 21.666670
950, 1951, -6.833330, 29.500000
4500, 1879, 17.833330, 73.983330
2770, 1942, 26.033330, 81.466670
448, 1913, 36.041670, 139.956670
1293, 1902, 14.183330, 75.800000
299, 1959, 31.600000, 65.783330
