year,GeoLocation
1952,"(7.050000, 12.433330)"
1995,"(51.683330, 30.783330)"
1897,"(27.350000, 68.533330)"
1960,"(11.650000, -2.183330)"
Fell,68.533330,"(27.883330
1950,"(41.683330, -112.133330)"
1984,"(12.850000, 11.033330)"
2000,"(14.150830, -2.041670)"
1950,"(12.916670, 11.916670)"
1909,"(35.533330, 136.883330)"
1853,"(37.316670, 13.566670)"
1947,"(9.600000, 9.916670)"
1990,"(52.200000, 6.866670)"
1939,"(-7.250000, 107.700000)"
1918,"(57.350000, 37.616670)"
1991,"(52.459720, -0.300000)"
1879,"(50.666670, 16.766670)"
1865,"(24.233330, 89.050000)"
1974,"(48.283330, 38.083330)"
1964,"(42.900000, 2.250000)"
1976,"(60.666670, 11.000000)"
2009,"(43.200000, -79.616670)"
1861,"(43.666670, 45.383330)"
1837,"(49.266670, 18.716670)"
1881,"(46.350000, 30.583330)"
1841,"(51.933330, 15.500000)"
1910,"(52.866670, 16.633330)"
1932,"(-33.000000, -58.616670)"
1996,"(39.804170, 122.763890)"
1983,"(24.100000, 105.000000)"
1980,"(37.100000, 118.400000)"
1892,"(38.733330, -6.016670)"
1891,"(43.766670, 20.233330)"
1972,"(13.500000, -0.683330)"
1949,"(9.916670, 13.983330)"
1982,"(22.983330, 76.050000)"
1984,"(11.491670, 11.658330)"
1904,"(42.900000, 24.700000)"
1814,"(13.783330, 78.566670)"
1981,"(9.366670, 42.416670)"
1851,"(51.916670, 8.383330)"
1930,"(35.000000, 127.500000)"
1817,"(35.650000, 139.333330)"
1934,"(50.316670, 3.733330)"
1944,"(57.816670, 16.233330)"
1959,"(41.383330, -86.600000)"
1878,"(26.800000, 82.533330)"
1921,"(28.383330, 75.783330)"
1961,"(32.675000, -94.511670)"
1859,"(38.250000, -86.166670)"
1910,"(35.294500, 136.700330)"
Fell,0.816670,"(28.950000
1628,"(51.650000, -1.516670)"
1971,"(60.245560, 22.061940)"
1922,"(55.466670, 13.783330)"
1910,"(27.333330, 35.666670)"
1857,"(10.000000, -84.100000)"
1869,"(59.850000, 17.666670)"
1897,"(33.600000, 130.433330)"
1804,"(55.900000, -4.233330)"
2003,"(34.450000, 132.383330)"
2003,"(1.345000, 31.472780)"
1954,"(64.433330, 21.200000)"
1912,"(34.900000, -110.183330)"
1923,"(9.066670, 38.416670)"
1875,"(41.800000, -91.866670)"
1825,"(21.300000, -157.866670)"
1956,"(35.666670, 115.500000)"
1963,"(39.350000, -100.450000)"
Fell,16.333330,"(46.100000
2010,"(26.464690, 106.632410)"
1877,"(50.300000, 8.916670)"
1901,"(61.183330, 22.683330)"
1870,"(52.283330, 7.700000)"
1957,"(-20.000000, -45.000000)"
1949,"(38.000000, 35.000000)"
1936,"(58.200000, 82.933330)"
1956,"(-32.100000, 28.333330)"
1977,"(-23.200000, -51.833330)"
1975,"(-6.033330, 145.366670)"
1891,"(39.750000, 46.666670)"
1917,"(39.083330, -94.400000)"
1963,"(41.000000, 112.000000)"
1977,"(53.415000, -111.337500)"
1972,"(-25.500000, -54.500000)"
1954,"(-8.933330, 33.800000)"
1928,"(-31.183330, -57.950000)"
1879,"(-3.400000, -44.333330)"
1990,"(26.590830, -12.952170)"
1938,"(-8.416670, 32.433330)"
1903,"(-32.500000, 21.900000)"
1926,"(26.750000, 68.416670)"
1990,
1621,"(31.000000, 75.000000)"
1866,"(18.750000, 75.333330)"
1979,"(39.700000, 105.800000)"
1889,"(43.833330, 20.441670)"
1901,
2009,"(46.421370, 14.052170)"
1873,"(31.300000, 72.383330)"
1964,"(31.916670, 104.916670)"
Fell,109.500000,"(30.808330
1976,"(44.050000, 126.166670)"
2006,"(22.680000, 70.313330)"
1877,"(55.700000, 24.400000)"
1924,"(40.350000, -104.900000)"
1974,"(-11.850000, 15.833330)"
1819,"(45.433330, -0.450000)"
1997,"(35.500000, 115.416670)"
1876,"(12.850000, 76.800000)"
1984,"(-7.716670, 111.200000)"
1976,"(35.200000, 118.800000)"
Fell,-7.270000,"(38.740280
1821,"(44.716670, 4.300000)"
1857,"(47.350000, 21.300000)"
1971,"(11.850000, 8.216670)"
1822,"(27.083330, 78.333330)"
1838,"(27.250000, 79.966670)"
1908,"(49.866670, 30.833330)"
1980,"(15.000000, 48.300000)"
1937,"(55.433330, 53.250000)"
1890,"(12.383330, 78.516670)"
1858,"(45.133330, 21.666670)"
1951,"(-6.833330, 29.500000)"
1879,"(17.833330, 73.983330)"
1942,"(26.033330, 81.466670)"
1913,"(36.041670, 139.956670)"
1902,"(14.183330, 75.800000)"
1959,"(31.600000, 65.783330)"
1908,"(-7.000000, 115.500000)"
1897,"(32.083330, 76.300000)"
1942,"(4.700000, 33.633330)"
2004,"(20.339160, 73.223290)"
1937,"(42.450000, 73.366670)"
1840,"(47.216670, 81.016670)"
1963,"(-3.500000, 35.583330)"
1949,"(12.900000, 7.150000)"
1905,"(27.800000, 67.166670)"
1955,"(31.583330, 71.600000)"
1930,"(-35.083330, 139.916670)"
1938,"(35.366670, 136.766670)"
2003,"(29.583330, 77.583330)"
1999,"(11.333330, 10.083330)"
Fell,75.813330,"(25.143330
Fell,31.780000,"(39.263330
1940,"(-7.750000, 112.016670)"
2008,"(36.541940, 29.418220)"
1939,"(29.450000, -96.000000)"
2003,"(20.462500, 86.702780)"
1874,"(48.400000, -3.300000)"
1869,"(48.116670, -3.083330)"
1850,"(38.983330, 141.616670)"
1873,"(29.533330, 72.300000)"
1932,"(25.550000, 83.116670)"
1787,"(50.625000, 35.075000)"
1860,"(26.950000, 77.883330)"
1867,"(28.016670, 75.816670)"
1929,"(56.750000, 75.333330)"
1910,"(25.100000, 81.533330)"
1932,"(16.000000, 36.000000)"
1983,"(14.000000, 28.000000)"
1962,"(54.400000, 10.150000)"
1970,"(16.583330, -11.333330)"
1906,"(36.850000, 138.383330)"
1809,"(55.000000, 34.000000)"
2002,"(12.766670, 9.800000)"
1911,"(43.583330, -89.600000)"
1844,"(54.666670, -7.666670)"
1967,"(11.633330, 24.683330)"
1906,"(30.750000, -95.950000)"
1914,"(48.166670, 22.308330)"
1998,"(43.383330, -80.383330)"
1843,"(51.600000, 10.800000)"
1866,"(48.900000, 22.400000)"
1999,"(34.733330, 135.166670)"
1986,"(34.300000, 133.950000)"
1926,"(35.733330, 139.750000)"
1931,"(42.516670, 26.166670)"
2010,"(48.763670, 21.176330)"
1869,"(49.326940, 7.464720)"
1829,"(54.033330, 40.900000)"
1946,"(54.333330, 56.083330)"
1906,"(56.800000, 77.000000)"
1946,"(47.833330, 30.766670)"
1938,"(51.150000, 31.700000)"
1961,"(30.731110, 66.802220)"
1811,"(50.750000, 33.500000)"
1906,"(41.116670, 45.000000)"
1949,"(55.783330, 61.366670)"
1998,"(42.250000, 59.200000)"
1920,"(37.050000, 138.383330)"
1860,"(29.683330, 78.383330)"
1977,"(44.516670, 39.300000)"
1914,"(10.833330, 76.033330)"
1932,"(55.200000, 75.333330)"
1886,"(32.033330, 130.633330)"
1879,"(47.083330, 1.750000)"
1878,"(20.666670, -101.283330)"
1924,"(-37.333330, -61.533330)"
1985,"(-31.233330, -58.166670)"
1871,"(44.283330, 5.583330)"
1955,"(26.783330, 82.716670)"
1803,"(48.766670, 0.633330)"
1910,"(21.866670, 76.033330)"
